provider,lang_label,voice_name,voice_gender,voice_id,sample_sentence,sample_voice
tiktok,Indonesian,Darma,male,id_male_darma,Ini adalah kalimat contoh dalam bahasa Indonesia.,/audio/id_male_darma.mp3
tiktok,Indonesian,Putra,male,id_male_putra,Ini adalah kalimat contoh dalam bahasa Indonesia.,/audio/id_male_putra.mp3
tiktok,Indonesian,Icha,female,id_female_icha,Ini adalah kalimat contoh dalam bahasa Indonesia.,/audio/id_female_icha.mp3
tiktok,Indonesian,Noor,female,id_female_noor,Ini adalah kalimat contoh dalam bahasa Indonesia.,/audio/id_female_noor.mp3
tiktok,English,Chris,male,en_uk_001,This is an example sentence in English.,/audio/en_uk_001.mp3
tiktok,English,UK Male 2,male,en_uk_003,This is an example sentence in English.,/audio/en_uk_003.mp3
tiktok,English,Peaceful,female,en_female_emotional,This is an example sentence in English.,/audio/en_female_emotional.mp3
tiktok,English,Eddie,male,en_au_001,This is an example sentence in English.,/audio/en_au_001.mp3
tiktok,English,Alex,male,en_au_002,This is an example sentence in English.,/audio/en_au_002.mp3
tiktok,English,Jessie,female,en_us_002,This is an example sentence in English.,/audio/en_us_002.mp3
tiktok,English,Joey,male,en_us_006,This is an example sentence in English.,/audio/en_us_006.mp3
tiktok,English,Professor,male,en_us_007,This is an example sentence in English.,/audio/en_us_007.mp3
tiktok,English,Scientist,male,en_us_009,This is an example sentence in English.,/audio/en_us_009.mp3
tiktok,English,Confidence,male,en_us_010,This is an example sentence in English.,/audio/en_us_010.mp3
tiktok,English,Empathetic,female,en_female_samc,This is an example sentence in English.,/audio/en_female_samc.mp3
tiktok,English,Serious,male,en_male_cody,This is an example sentence in English.,/audio/en_male_cody.mp3
tiktok,English,Story Teller,male,en_male_narration,This is an example sentence in English.,/audio/en_male_narration.mp3
tiktok,English,Wacky,male,en_male_funny,This is an example sentence in English.,/audio/en_male_funny.mp3
tiktok,English,Alfred,male,en_male_jarvis,This is an example sentence in English.,/audio/en_male_jarvis.mp3
tiktok,English,Author,male,en_male_santa_narration,This is an example sentence in English.,/audio/en_male_santa_narration.mp3
tiktok,English,Bae,female,en_female_betty,This is an example sentence in English.,/audio/en_female_betty.mp3
tiktok,English,Beauty Guru,female,en_female_makeup,This is an example sentence in English.,/audio/en_female_makeup.mp3
tiktok,English,Bestie,female,en_female_richgirl,This is an example sentence in English.,/audio/en_female_richgirl.mp3
tiktok,English,Cupid,male,en_male_cupid,This is an example sentence in English.,/audio/en_male_cupid.mp3
tiktok,English,Debutante,female,en_female_shenna,This is an example sentence in English.,/audio/en_female_shenna.mp3
tiktok,English,Ghost Host,male,en_male_ghosthost,This is an example sentence in English.,/audio/en_male_ghosthost.mp3
tiktok,English,Grandma,female,en_female_grandma,This is an example sentence in English.,/audio/en_female_grandma.mp3
tiktok,English,Lord Cringe,male,en_male_ukneighbor,This is an example sentence in English.,/audio/en_male_ukneighbor.mp3
tiktok,English,Magician,male,en_male_wizard,This is an example sentence in English.,/audio/en_male_wizard.mp3
