lang_label,voice_name,voice_gender,voice_id,sample_sentence,sample_voice
English,Narrator (Chris),neutral,en_uk_001,This is an example sentence in English.,/audio/en_uk_001.mp3
English,UK Male 2,male,en_uk_003,This is an example sentence in English.,/audio/en_uk_003.mp3
English,Peaceful,female,en_female_emotional,This is an example sentence in English.,/audio/en_female_emotional.mp3
English,Metro (Eddie),neutral,en_au_001,This is an example sentence in English.,/audio/en_au_001.mp3
English,Smooth (Alex),neutral,en_au_002,This is an example sentence in English.,/audio/en_au_002.mp3
English,Jessie,neutral,en_us_002,This is an example sentence in English.,/audio/en_us_002.mp3
English,Joey,neutral,en_us_006,This is an example sentence in English.,/audio/en_us_006.mp3
English,Professor,neutral,en_us_007,This is an example sentence in English.,/audio/en_us_007.mp3
English,Scientist,neutral,en_us_009,This is an example sentence in English.,/audio/en_us_009.mp3
English,Confidence,neutral,en_us_010,This is an example sentence in English.,/audio/en_us_010.mp3
English,Empathetic,female,en_female_samc,This is an example sentence in English.,/audio/en_female_samc.mp3
English,Serious,male,en_male_cody,This is an example sentence in English.,/audio/en_male_cody.mp3
English,Story Teller,male,en_male_narration,This is an example sentence in English.,/audio/en_male_narration.mp3
English,Wacky,male,en_male_funny,This is an example sentence in English.,/audio/en_male_funny.mp3
English,Alfred,male,en_male_jarvis,This is an example sentence in English.,/audio/en_male_jarvis.mp3
English,Author,male,en_male_santa_narration,This is an example sentence in English.,/audio/en_male_santa_narration.mp3
English,Bae,female,en_female_betty,This is an example sentence in English.,/audio/en_female_betty.mp3
English,Beauty Guru,female,en_female_makeup,This is an example sentence in English.,/audio/en_female_makeup.mp3
English,Bestie,female,en_female_richgirl,This is an example sentence in English.,/audio/en_female_richgirl.mp3
English,Cupid,male,en_male_cupid,This is an example sentence in English.,/audio/en_male_cupid.mp3
English,Debutante,female,en_female_shenna,This is an example sentence in English.,/audio/en_female_shenna.mp3
English,Ghost Host,male,en_male_ghosthost,This is an example sentence in English.,/audio/en_male_ghosthost.mp3
English,Grandma,female,en_female_grandma,This is an example sentence in English.,/audio/en_female_grandma.mp3
English,Lord Cringe,male,en_male_ukneighbor,This is an example sentence in English.,/audio/en_male_ukneighbor.mp3
English,Magician,male,en_male_wizard,This is an example sentence in English.,/audio/en_male_wizard.mp3
English,Marty,male,en_male_trevor,This is an example sentence in English.,/audio/en_male_trevor.mp3
English,Mr. GoodGuy (Deadpool),male,en_male_deadpool,This is an example sentence in English.,/audio/en_male_deadpool.mp3
English,Mr. Meticulous,male,en_male_ukbutler,This is an example sentence in English.,/audio/en_male_ukbutler.mp3
English,Pirate,male,en_male_pirate,This is an example sentence in English.,/audio/en_male_pirate.mp3
English,Santa,male,en_male_santa,This is an example sentence in English.,/audio/en_male_santa.mp3
English,Santa (w/ effect),male,en_male_santa_effect,This is an example sentence in English.,/audio/en_male_santa_effect.mp3
English,Varsity,female,en_female_pansino,This is an example sentence in English.,/audio/en_female_pansino.mp3
English,Trickster (Grinch),male,en_male_grinch,This is an example sentence in English.,/audio/en_male_grinch.mp3
English,Ghostface (Scream),neutral,en_us_ghostface,This is an example sentence in English.,/audio/en_us_ghostface.mp3
English,Chewbacca (Star Wars),neutral,en_us_chewbacca,This is an example sentence in English.,/audio/en_us_chewbacca.mp3
English,C-3PO (Star Wars),neutral,en_us_c3po,This is an example sentence in English.,/audio/en_us_c3po.mp3
English,Stormtrooper (Star Wars),neutral,en_us_stormtrooper,This is an example sentence in English.,/audio/en_us_stormtrooper.mp3
English,Stitch (Lilo & Stitch),neutral,en_us_stitch,This is an example sentence in English.,/audio/en_us_stitch.mp3
English,Rocket (Guardians of the Galaxy),neutral,en_us_rocket,This is an example sentence in English.,/audio/en_us_rocket.mp3
English,Madame Leota (Haunted Mansion),female,en_female_madam_leota,This is an example sentence in English.,/audio/en_female_madam_leota.mp3
Song,Song: Caroler,male,en_male_sing_deep_jingle,This is an example sentence in English.,/audio/en_male_sing_deep_jingle.mp3
Song,Song: Classic Electric,male,en_male_m03_classical,This is an example sentence in English.,/audio/en_male_m03_classical.mp3
Song,Song: Cottagecore (Salut d'Amour),female,en_female_f08_salut_damour,This is an example sentence in English.,/audio/en_female_f08_salut_damour.mp3
Song,Song: Cozy,male,en_male_m2_xhxs_m03_christmas,This is an example sentence in English.,/audio/en_male_m2_xhxs_m03_christmas.mp3
Song,Song: Open Mic (Warmy Breeze),female,en_female_f08_warmy_breeze,This is an example sentence in English.,/audio/en_female_f08_warmy_breeze.mp3
Song,Song: Opera (Halloween),female,en_female_ht_f08_halloween,This is an example sentence in English.,/audio/en_female_ht_f08_halloween.mp3
Song,Song: Euphoric (Glorious),female,en_female_ht_f08_glorious,This is an example sentence in English.,/audio/en_female_ht_f08_glorious.mp3
Song,Song: Hypetrain (It Goes Up),male,en_male_sing_funny_it_goes_up,This is an example sentence in English.,/audio/en_male_sing_funny_it_goes_up.mp3
Song,Song: Jingle (Lobby),male,en_male_m03_lobby,This is an example sentence in English.,/audio/en_male_m03_lobby.mp3
Song,Song: Melodrama (Wonderful World),female,en_female_ht_f08_wonderful_world,This is an example sentence in English.,/audio/en_female_ht_f08_wonderful_world.mp3
Song,Song: NYE 2023,female,en_female_ht_f08_newyear,This is an example sentence in English.,/audio/en_female_ht_f08_newyear.mp3
Song,Song: Thanksgiving,male,en_male_sing_funny_thanksgiving,This is an example sentence in English.,/audio/en_male_sing_funny_thanksgiving.mp3
Song,Song: Toon Beat (Sunshine Soon),male,en_male_m03_sunshine_soon,This is an example sentence in English.,/audio/en_male_m03_sunshine_soon.mp3
Song,Song: Pop Lullaby,female,en_female_f08_twinkle,This is an example sentence in English.,/audio/en_female_f08_twinkle.mp3
Song,Song: Quirky Time,male,en_male_m2_xhxs_m03_silly,This is an example sentence in English.,/audio/en_male_m2_xhxs_m03_silly.mp3
French,French Male 1,male,fr_001,Ceci est une phrase exemple en français.,/audio/fr_001.mp3
French,French Male 2,male,fr_002,Ceci est une phrase exemple en français.,/audio/fr_002.mp3
German,German Female,female,de_001,Dies ist ein Beispielsatz auf Deutsch.,/audio/de_001.mp3
German,German Male,male,de_002,Dies ist ein Beispielsatz auf Deutsch.,/audio/de_002.mp3
Indonesian,Darma,male,id_male_darma,Ini adalah kalimat contoh dalam bahasa Indonesia.,/audio/id_male_darma.mp3
Indonesian,Icha,female,id_female_icha,Ini adalah kalimat contoh dalam bahasa Indonesia.,/audio/id_female_icha.mp3
Indonesian,Noor,female,id_female_noor,Ini adalah kalimat contoh dalam bahasa Indonesia.,/audio/id_female_noor.mp3
Indonesian,Putra,male,id_male_putra,Ini adalah kalimat contoh dalam bahasa Indonesia.,/audio/id_male_putra.mp3
Italian,Italian Male,male,it_male_m18,Questa è una frase di esempio in italiano.,/audio/it_male_m18.mp3
